day_of_week,time_slot,ACCIDENT,JAM,ROAD_CLOSED,WEATHERHAZARD
0,afternoon,138.19319484380847,3249.6455452120545,4983.424232924302,1629.7370270198344
0,morning,238.15166068011698,463.33190562202446,8605.448609053117,694.0678246447392
1,afternoon,172.66981600149634,4926.309074419184,2971.9698085285277,1930.0513010508348
1,evening,128.60618976446762,6559.7187024365685,1963.2973377767069,1349.3777700222652
1,morning,95.09978233866114,6658.197157633297,2100.8429455257738,1146.8601145022858
2,afternoon,0.0,0.0,10001.0,0.0
2,evening,0.0,0.0,10001.0,0.0
2,morning,0.0,7082.162242706632,1222.8937280544926,1695.9440292388304
3,afternoon,0.0,0.0,10001.0,0.0
3,evening,0.0,0.0,10001.0,0.0
3,morning,0.0,0.0,6669.543921598012,3331.4560784020673
4,afternoon,0.0,0.0,10001.0,0.0
5,evening,0.0,0.0,10001.0,0.0
6,afternoon,201.09177296361253,4021.209572437951,3869.193959323496,1909.5046952749744
6,evening,114.8643972057625,3860.3693970896766,4821.982119424237,1203.7840862803228
6,morning,141.06407300707514,3255.466740025838,5587.993844616404,1016.4753423507321
