,linqmap_street,linqmap_type,linqmap_subtype,pubDate,linqmap_roadType,linqmap_reportRating,linqmap_magvar,linqmap_reliability,update_date,test_set,NS,EW,event_time_hours
0,שתולים,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-04-22 12:08:20,1,0,0,10,2022-05-25 12:53:02.741000,0,1,1,792.7452058333333
1,בן סרוק,ROAD_CLOSED,ROAD_CLOSED_EVENT,2021-08-12 14:00:04,1,0,0,10,2022-05-25 12:53:02.744000,0,1,1,6862.882984444444
2,ארלוזורוב,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-02-10 11:37:09,2,0,0,10,2022-05-25 12:53:02.745000,0,1,1,2497.2649291666667
3,עולי ציון,JAM,JAM_HEAVY_TRAFFIC,2022-05-25 09:38:18,2,5,317,7,2022-05-25 12:53:02.745000,0,1,0,3.2457625
4,עולי ציון,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-02-03 09:20:12,2,0,0,10,2022-05-25 12:53:02.810000,1,1,1,2667.547447222222
5,שד ירושלים,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-02-06 09:05:17,2,0,0,10,2022-05-25 12:53:02.811000,1,1,1,2595.796058611111
6,סירקין,JAM,JAM_HEAVY_TRAFFIC,2022-05-25 09:43:11,1,5,36,5,2022-05-25 12:53:02.812000,1,1,1,3.1643922222222223
7,סירקין,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-02-03 09:20:12,2,0,0,10,2022-05-25 12:53:02.813000,1,1,1,2667.5474480555554
8,דרך חיל השריון,WEATHERHAZARD,HAZARD_ON_ROAD_CAR_STOPPED,2022-05-25 09:12:37,2,5,184,10,2022-05-25 12:53:02.902000,2,0,0,3.673861666666667
9,שינקין,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-25 10:42:30,2,5,104,6,2022-05-25 13:53:02.594000,2,0,1,3.1757205555555554
